序号,参数层级,模块,参数名,Solidity Key/入口,作用域与Key维度,状态,当前/样例原始值,可读值,数据类型,精度或单位,设置入口,所需权限,Limited Keeper可改,当前路径必填,用途,E2E测试关注点,来源,备注
65,当前链上参数,风控闸门,RESERVE_FACTOR,FX100Keys.RESERVE_FACTOR,marketIndex=market#2,已设置,300000000000000000000000000000,0.3 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,市场保留的流动性比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
66,当前链上参数,交易费用与分账,FEE_RECEIVER,FX100Keys.FEE_RECEIVER,global 或按 Key builder,已设置,0x0b5141ef09e0ccb0d35595ec4cf25ed82079f396,,address,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,协议费用最终接收方或 RevenuePool。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
67,当前链上参数,交易费用与分账,POSITION_FEE_FACTOR,FX100Keys.POSITION_FEE_FACTOR,"marketIndex=market#1, balanceWasImproved=false",已设置,500000000000000000000000000,0.0005 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,按交易规模收取的仓位费率，可按是否改善平衡区分。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
68,当前链上参数,交易费用与分账,POSITION_FEE_FACTOR,FX100Keys.POSITION_FEE_FACTOR,"marketIndex=market#1, balanceWasImproved=true",已设置,500000000000000000000000000,0.0005 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,按交易规模收取的仓位费率，可按是否改善平衡区分。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
69,当前链上参数,交易费用与分账,POSITION_FEE_FACTOR,FX100Keys.POSITION_FEE_FACTOR,"marketIndex=market#2, balanceWasImproved=false",已设置,500000000000000000000000000,0.0005 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,按交易规模收取的仓位费率，可按是否改善平衡区分。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
70,当前链上参数,交易费用与分账,POSITION_FEE_FACTOR,FX100Keys.POSITION_FEE_FACTOR,"marketIndex=market#2, balanceWasImproved=true",已设置,500000000000000000000000000,0.0005 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,按交易规模收取的仓位费率，可按是否改善平衡区分。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
71,当前链上参数,交易费用与分账,POSITION_FEE_RECEIVER_FACTOR,FX100Keys.POSITION_FEE_RECEIVER_FACTOR,"marketIndex[, side/flag]",已设置,500000000000000000000000000000,0.5 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,协议仓位费中分配给费用接收方的比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
72,当前链上参数,可领取余额,CLAIMABLE_COLLATERAL_DELAY,FX100Keys.CLAIMABLE_COLLATERAL_DELAY,global 或按 Key builder,已设置,86400,86400 seconds,uint,秒,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,抵押品可领取前的延迟。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
73,当前链上参数,可领取余额,CLAIMABLE_COLLATERAL_TIME_DIVISOR,FX100Keys.CLAIMABLE_COLLATERAL_TIME_DIVISOR,global 或按 Key builder,已设置,86400,86400 seconds,uint,秒,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,可领取抵押品 timeKey 的分桶周期。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
74,当前链上参数,清算与保护期,LIQUIDATION_FEE_FACTOR,FX100Keys.LIQUIDATION_FEE_FACTOR,marketIndex=market#1,已设置,3000000000000000000000000000,0.003 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,清算费用率。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
75,当前链上参数,清算与保护期,LIQUIDATION_FEE_FACTOR,FX100Keys.LIQUIDATION_FEE_FACTOR,marketIndex=market#2,已设置,3000000000000000000000000000,0.003 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,清算费用率。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
76,当前链上参数,清算与保护期,LIQUIDATION_FEE_RECEIVER_FACTOR,FX100Keys.LIQUIDATION_FEE_RECEIVER_FACTOR,global 或按 Key builder,已设置,500000000000000000000000000000,0.5 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,清算费中分配给费用接收方的比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
77,当前链上参数,清算与保护期,LIQUIDATION_GRACE_PERIOD_BASE,FX100Keys.LIQUIDATION_GRACE_PERIOD_BASE,marketIndex=market#1,已设置,900,900 seconds,uint,秒,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,新仓清算保护期基础秒数。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
78,当前链上参数,清算与保护期,LIQUIDATION_GRACE_PERIOD_BASE,FX100Keys.LIQUIDATION_GRACE_PERIOD_BASE,marketIndex=market#2,已设置,900,900 seconds,uint,秒,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,新仓清算保护期基础秒数。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
79,当前链上参数,清算与保护期,LIQUIDATION_GRACE_PERIOD_TIER_MULTIPLIER,FX100Keys.LIQUIDATION_GRACE_PERIOD_TIER_MULTIPLIER,tier=tier0,已设置,1000000000000000000,1 (multiplier(1e18)),uint,multiplier(1e18),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,推荐等级对应的保护期乘数。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
80,当前链上参数,清算与保护期,MIN_COLLATERAL_FACTOR_FOR_LIQUIDATION,FX100Keys.MIN_COLLATERAL_FACTOR_FOR_LIQUIDATION,marketIndex=market#1,已设置,4000000000000000000000000000,0.004 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,清算判断使用的最低抵押率。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
81,当前链上参数,清算与保护期,MIN_COLLATERAL_FACTOR_FOR_LIQUIDATION,FX100Keys.MIN_COLLATERAL_FACTOR_FOR_LIQUIDATION,marketIndex=market#2,已设置,5000000000000000000000000000,0.005 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,清算判断使用的最低抵押率。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
82,当前链上参数,市场与代币,COLLATERAL_TOKEN,FX100Keys.COLLATERAL_TOKEN,marketIndex=market#1,已设置,0xbf4d9b318689ab928db9ee4cdc840c065575eb89,,address,按 Key 定义,MarketFactory.createMarket,由创建流程或管理员设置,否,是/当前部署路径,市场抵押资产地址。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
83,当前链上参数,市场与代币,COLLATERAL_TOKEN,FX100Keys.COLLATERAL_TOKEN,marketIndex=market#2,已设置,0xbf4d9b318689ab928db9ee4cdc840c065575eb89,,address,按 Key 定义,MarketFactory.createMarket,由创建流程或管理员设置,否,是/当前部署路径,市场抵押资产地址。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
84,当前链上参数,市场与代币,INDEX_TOKEN,FX100Keys.INDEX_TOKEN,marketIndex=market#1,已设置,0x0555e30da8f98308edb960aa94c0db47230d2b9c,,address,按 Key 定义,MarketFactory.createMarket,由创建流程或管理员设置,否,是/当前部署路径,市场指数资产地址。,零地址、错误地址、权限和实际资金接收方,链上参数快照 base_sepolia_v0.3.1_260729,
85,当前链上参数,市场与代币,INDEX_TOKEN,FX100Keys.INDEX_TOKEN,marketIndex=market#2,已设置,0x4200000000000000000000000000000000000006,,address,按 Key 定义,MarketFactory.createMarket,由创建流程或管理员设置,否,是/当前部署路径,市场指数资产地址。,零地址、错误地址、权限和实际资金接收方,链上参数快照 base_sepolia_v0.3.1_260729,
86,当前链上参数,市场与代币,MARKET_INDEX,FX100Keys.MARKET_INDEX,marketIndex=market#1,已设置,1,,uint,按 Key 定义,MarketFactory.createMarket,由创建流程或管理员设置,否,是/当前部署路径,市场编号。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
87,当前链上参数,市场与代币,MARKET_INDEX,FX100Keys.MARKET_INDEX,marketIndex=market#2,已设置,2,,uint,按 Key 定义,MarketFactory.createMarket,由创建流程或管理员设置,否,是/当前部署路径,市场编号。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
88,当前链上参数,市场与代币,MARKET_LIST,FX100Keys.MARKET_LIST,uintCount,已设置,2,,uintCount,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,已创建市场编号集合。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,同 key 探测 3 种类型，仅此型有值
89,当前链上参数,市场与代币,VAULT,FX100Keys.VAULT,marketIndex=market#1,已设置,0xd584270bbc25e0948103da1e1865aa523a1bae6c,,address,按 Key 定义,MarketFactory.createMarket,由创建流程或管理员设置,否,是/当前部署路径,市场共用的 LP Vault 地址。,零地址、错误地址、权限和实际资金接收方,链上参数快照 base_sepolia_v0.3.1_260729,
90,当前链上参数,市场与代币,VAULT,FX100Keys.VAULT,marketIndex=market#2,已设置,0xd584270bbc25e0948103da1e1865aa523a1bae6c,,address,按 Key 定义,MarketFactory.createMarket,由创建流程或管理员设置,否,是/当前部署路径,市场共用的 LP Vault 地址。,零地址、错误地址、权限和实际资金接收方,链上参数快照 base_sepolia_v0.3.1_260729,
91,当前链上参数,执行费与 Gas,DECREASE_ORDER_GAS_LIMIT,FX100Keys.DECREASE_ORDER_GAS_LIMIT,global 或按 Key builder,已设置,3900000,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,减仓订单基础 Gas 估值。,不足、刚好满足、超上限、退款和接收方,链上参数快照 base_sepolia_v0.3.1_260729,
92,当前链上参数,执行费与 Gas,ESTIMATED_GAS_FEE_BASE_AMOUNT_V2_1,FX100Keys.ESTIMATED_GAS_FEE_BASE_AMOUNT_V2_1,global 或按 Key builder,已设置,600000,,uint,整数,Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,创建订单时执行费估算的基础 Gas。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
93,当前链上参数,执行费与 Gas,ESTIMATED_GAS_FEE_MULTIPLIER_FACTOR,FX100Keys.ESTIMATED_GAS_FEE_MULTIPLIER_FACTOR,global 或按 Key builder,已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,估算 Gas 的放大比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
94,当前链上参数,执行费与 Gas,ESTIMATED_GAS_FEE_PER_ORACLE_PRICE,FX100Keys.ESTIMATED_GAS_FEE_PER_ORACLE_PRICE,global 或按 Key builder,已设置,250000,,uint,整数,Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,每个 Oracle price 增加的估算 Gas。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
95,当前链上参数,执行费与 Gas,EXECUTION_FEE_SUBSIDIZE,FX100Keys.EXECUTION_FEE_SUBSIDIZE,marketIndex=market#1,已设置,20000000000000000000000000000000,20 (USD(1e30)),uint,USD(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,按 USD 数量判断免执行费的阈值。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
96,当前链上参数,执行费与 Gas,EXECUTION_FEE_SUBSIDIZE,FX100Keys.EXECUTION_FEE_SUBSIDIZE,marketIndex=market#2,已设置,20000000000000000000000000000000,20 (USD(1e30)),uint,USD(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,按 USD 数量判断免执行费的阈值。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
97,当前链上参数,执行费与 Gas,EXECUTION_FEE_SUBSIDIZE_SIZE,FX100Keys.EXECUTION_FEE_SUBSIDIZE_SIZE,marketIndex=market#1,已设置,333333333333333,0.000333333333333333 (token(1e18)),uint,token(1e18),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,按 Token 数量判断免执行费的阈值。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
98,当前链上参数,执行费与 Gas,EXECUTION_FEE_SUBSIDIZE_SIZE,FX100Keys.EXECUTION_FEE_SUBSIDIZE_SIZE,marketIndex=market#2,已设置,10000000000000000,0.01 (token(1e18)),uint,token(1e18),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,按 Token 数量判断免执行费的阈值。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
99,当前链上参数,执行费与 Gas,INCREASE_ORDER_GAS_LIMIT,FX100Keys.INCREASE_ORDER_GAS_LIMIT,global 或按 Key builder,已设置,3900000,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,加仓订单基础 Gas 估值。,不足、刚好满足、超上限、退款和接收方,链上参数快照 base_sepolia_v0.3.1_260729,
100,当前链上参数,执行费与 Gas,MAX_CALLBACK_GAS_LIMIT,FX100Keys.MAX_CALLBACK_GAS_LIMIT,global 或按 Key builder,已设置,2000000,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,单订单回调允许的最大 Gas。,不足、刚好满足、超上限、退款和接收方,链上参数快照 base_sepolia_v0.3.1_260729,
101,当前链上参数,执行费与 Gas,MAX_TOTAL_CALLBACK_GAS_LIMIT_FOR_AUTO_CANCEL_ORDERS,FX100Keys.MAX_TOTAL_CALLBACK_GAS_LIMIT_FOR_AUTO_CANCEL_ORDERS,global 或按 Key builder,已设置,2000000,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,自动取消订单回调 Gas 总上限。,不足、刚好满足、超上限、退款和接收方,链上参数快照 base_sepolia_v0.3.1_260729,
102,当前链上参数,执行费与 Gas,NATIVE_TOKEN_TRANSFER_GAS_LIMIT,FX100Keys.NATIVE_TOKEN_TRANSFER_GAS_LIMIT,token/provider,已设置,200000,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,原生币转账 Gas 上限。,不足、刚好满足、超上限、退款和接收方,链上参数快照 base_sepolia_v0.3.1_260729,
103,当前链上参数,执行费与 Gas,TOKEN_TRANSFER_GAS_LIMIT,FX100Keys.TOKEN_TRANSFER_GAS_LIMIT,token=market#1 collateralToken / market#2 collateralToken / MockUSDC,已设置,200000,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,指定 Token 转账 Gas 上限。,不足、刚好满足、超上限、退款和接收方,链上参数快照 base_sepolia_v0.3.1_260729,
104,当前链上参数,执行费与 Gas,TOKEN_TRANSFER_GAS_LIMIT,FX100Keys.TOKEN_TRANSFER_GAS_LIMIT,token=market#1 indexToken,已设置,200000,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,指定 Token 转账 Gas 上限。,不足、刚好满足、超上限、退款和接收方,链上参数快照 base_sepolia_v0.3.1_260729,
105,当前链上参数,执行费与 Gas,TOKEN_TRANSFER_GAS_LIMIT,FX100Keys.TOKEN_TRANSFER_GAS_LIMIT,token=market#2 indexToken / WNT (Base WETH),已设置,200000,,uint,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,指定 Token 转账 Gas 上限。,不足、刚好满足、超上限、退款和接收方,链上参数快照 base_sepolia_v0.3.1_260729,
106,当前链上参数,资金费,FUNDING_BASE_FACTOR,FX100Keys.FUNDING_BASE_FACTOR,marketIndex=market#1,已设置,42672606957128361237950,"0.00000004267260695712836123795 (per-sec(1e30), 年化≈134.5700%)",int,per-sec(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Skew 对资金费率的基础放大系数。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
107,当前链上参数,资金费,FUNDING_BASE_FACTOR,FX100Keys.FUNDING_BASE_FACTOR,marketIndex=market#2,已设置,45278306284880771182141,"0.000000045278306284880771182141 (per-sec(1e30), 年化≈142.7800%)",int,per-sec(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Skew 对资金费率的基础放大系数。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
108,当前链上参数,资金费,FUNDING_FLOOR_FACTOR,FX100Keys.FUNDING_FLOOR_FACTOR,marketIndex=market#1,已设置,3472222222222222222222,"0.000000003472222222222222222222 (per-sec(1e30), 年化≈10.9400%)",int,per-sec(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,多头资金费率中的 floor 分量。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
109,当前链上参数,资金费,FUNDING_FLOOR_FACTOR,FX100Keys.FUNDING_FLOOR_FACTOR,marketIndex=market#2,已设置,3472222222222222222222,"0.000000003472222222222222222222 (per-sec(1e30), 年化≈10.9400%)",int,per-sec(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,多头资金费率中的 floor 分量。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
110,当前链上参数,资金费,MAX_FUNDING_FACTOR_PER_SECOND,FX100Keys.MAX_FUNDING_FACTOR_PER_SECOND,marketIndex=market#1,已设置,30606957128361237950279,"0.000000030606957128361237950279 (per-sec(1e30), 年化≈96.5200%)",int,per-sec(1e30),Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,每秒资金费率上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
111,当前链上参数,资金费,MAX_FUNDING_FACTOR_PER_SECOND,FX100Keys.MAX_FUNDING_FACTOR_PER_SECOND,marketIndex=market#2,已设置,35320839675291730086250,"0.00000003532083967529173008625 (per-sec(1e30), 年化≈111.3800%)",int,per-sec(1e30),Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,每秒资金费率上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
112,当前链上参数,资金费,MIN_FUNDING_FACTOR_PER_SECOND,FX100Keys.MIN_FUNDING_FACTOR_PER_SECOND,marketIndex=market#1,已设置,-4247209538305428716387,"-0.000000004247209538305428716387 (per-sec(1e30), 年化≈-13.3900%)",int,per-sec(1e30),Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,每秒资金费率下限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
113,当前链上参数,资金费,MIN_FUNDING_FACTOR_PER_SECOND,FX100Keys.MIN_FUNDING_FACTOR_PER_SECOND,marketIndex=market#2,已设置,-8722571029934043632673,"-0.000000008722571029934043632673 (per-sec(1e30), 年化≈-27.5000%)",int,per-sec(1e30),Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,每秒资金费率下限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
114,当前链上参数,ADL 与盈亏水位,MAX_PNL_FACTOR,FX100Keys.MAX_PNL_FACTOR,"pnlFactorType=MAX_PNL_FACTOR_FOR_TRADERS, marketIndex=market#1, isLong=false",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,交易者正 PnL 相对池价值的可支付上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
115,当前链上参数,ADL 与盈亏水位,MAX_PNL_FACTOR,FX100Keys.MAX_PNL_FACTOR,"pnlFactorType=MAX_PNL_FACTOR_FOR_TRADERS, marketIndex=market#1, isLong=true",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,交易者正 PnL 相对池价值的可支付上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
116,当前链上参数,ADL 与盈亏水位,MAX_PNL_FACTOR,FX100Keys.MAX_PNL_FACTOR,"pnlFactorType=MAX_PNL_FACTOR_FOR_TRADERS, marketIndex=market#2, isLong=false",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,交易者正 PnL 相对池价值的可支付上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
117,当前链上参数,ADL 与盈亏水位,MAX_PNL_FACTOR,FX100Keys.MAX_PNL_FACTOR,"pnlFactorType=MAX_PNL_FACTOR_FOR_TRADERS, marketIndex=market#2, isLong=true",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,交易者正 PnL 相对池价值的可支付上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
118,当前链上参数,ADL 与盈亏水位,MAX_PNL_FACTOR_FOR_ADL,FX100Keys.MAX_PNL_FACTOR_FOR_ADL,global 或按 Key builder,已设置,750000000000000000000000000000,0.75 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,触发 ADL 的全局净义务比例阈值。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
119,当前链上参数,ADL 与盈亏水位,MAX_PNL_FACTOR_FOR_WITHDRAWALS,FX100Keys.MAX_PNL_FACTOR_FOR_WITHDRAWALS,global 或按 Key builder,已设置,650000000000000000000000000000,0.65 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,LP 提现允许的全局净义务比例阈值。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
120,当前链上参数,ADL 与盈亏水位,MIN_PNL_FACTOR_AFTER_ADL,FX100Keys.MIN_PNL_FACTOR_AFTER_ADL,global 或按 Key builder,已设置,500000000000000000000000000000,0.5 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,ADL 结束或降档使用的目标阈值。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
121,当前链上参数,Oracle 与价格源,CHAINLINK_PAYMENT_TOKEN,FX100Keys.CHAINLINK_PAYMENT_TOKEN,global 或按 Key builder,已设置,0xe4ab69c077896252fafbd49efd26b5d171a32410,,address,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Chainlink Data Stream 验证费用 Token。,零地址、错误地址、权限和实际资金接收方,链上参数快照 base_sepolia_v0.3.1_260729,
122,当前链上参数,Oracle 与价格源,DATA_STREAM_ID,FX100Keys.DATA_STREAM_ID,token=market#1 collateralToken / market#2 collateralToken / MockUSDC,已设置,0x0003dc85e8b01946bf9dfd8b0db860129181eb6105a8c8981d9f28e00b6f60d9,,bytes32,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Token 对应的 Chainlink Data Stream feed ID。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
123,当前链上参数,Oracle 与价格源,DATA_STREAM_ID,FX100Keys.DATA_STREAM_ID,token=market#1 indexToken,已设置,0x00037da06d56d083fe599397a4769a042d63aa73dc4ef57709d31e9971a5b439,,bytes32,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Token 对应的 Chainlink Data Stream feed ID。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
124,当前链上参数,Oracle 与价格源,DATA_STREAM_ID,FX100Keys.DATA_STREAM_ID,token=market#2 indexToken / WNT (Base WETH),已设置,0x000359843a543ee2fe414dc14c7e7920ef10f4372990b79d6361cdc0dd1ba782,,bytes32,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Token 对应的 Chainlink Data Stream feed ID。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
125,当前链上参数,Oracle 与价格源,DATA_STREAM_MULTIPLIER,FX100Keys.DATA_STREAM_MULTIPLIER,token=market#1 collateralToken / market#2 collateralToken / MockUSDC,已设置,1000000000000000000000000000000000000,,uint,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Data Stream 原始价格转为协议价格精度的乘数。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
126,当前链上参数,Oracle 与价格源,DATA_STREAM_MULTIPLIER,FX100Keys.DATA_STREAM_MULTIPLIER,token=market#1 indexToken,已设置,1000000000000000000000000,,uint,按 Key 定义,DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Data Stream 原始价格转为协议价格精度的乘数。,过期、偏差、Provider禁用、min/max价格选择,链上参数快照 base_sepolia_v0.3.1_260729,
